application_number,application_type,sponsor_name,generic_name,brand_name,manufacturer_name,marketing_status,therapeutic_class_epc,therapeutic_class_cs,mechanism_of_action,regulatory_action_type,submission_type,review_priority,approval_year,submission_status_date,product_type,route,dosage_form,substance_name,rxcui,unii
ANDA212965,ANDA,EUGIA PHARMA,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,Eugia US LLC,Prescription,,,,AP,ORIG,STANDARD,2020,20200706,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,VERAPAMIL HYDROCHLORIDE,1665057,V3888OEY5R
ANDA207872,ANDA,TIANJIN TIANYAO,CELECOXIB,CELECOXIB,"EPIC PHARMA, LLC",Prescription,Nonsteroidal Anti-inflammatory Drug [EPC],"Anti-Inflammatory Agents, Non-Steroidal [CS]",Cyclooxygenase Inhibitors [MoA],AP,ORIG,STANDARD,2020,20200225,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,CELECOXIB,205322,JCX84Q7J1L
NDA201525,NDA,SANDOZ,DOCETAXEL,DOCETAXEL,Baxter Healthcare Corporation,Prescription,,,,AP,ORIG,STANDARD,2011,20110629,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DOCETAXEL,1093280,15H5577CQD
ANDA211072,ANDA,UBI,OLANZAPINE,OLANZAPINE INTRAMUSCULAR,UBI Pharma Inc.,Prescription,Atypical Antipsychotic [EPC],,,AP,ORIG,STANDARD,2025,20250611,HUMAN PRESCRIPTION DRUG,INTRAMUSCULAR,POWDER,OLANZAPINE,485968,N7U69T4SZR
ANDA076788,ANDA,SUN PHARMA CANADA,MOMETASONE FUROATE,MOMETASONE FUROATE,"Sun Pharmaceutical Industries, Inc.",Discontinued,,,,AP,SUPPL,STANDARD,2019,20190322,HUMAN PRESCRIPTION DRUG,TOPICAL,LOTION,MOMETASONE FUROATE,151030,04201GDN4R
ANDA213435,ANDA,MSN,ALBENDAZOLE,ALBENDAZOLE,Novadoz Pharmaceuticals LLC,Prescription,Anthelmintic [EPC],,Cytochrome P450 1A Inducers [MoA],AP,ORIG,STANDARD,2021,20210122,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ALBENDAZOLE,199672,F4216019LN
ANDA217515,ANDA,FRESENIUS KABI USA,POTASSIUM ACETATE,POTASSIUM ACETATE,"Fresenius Kabi USA, LLC",Prescription,,,,AP,ORIG,STANDARD,2024,20241127,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,POTASSIUM ACETATE,1871155,M911911U02
ANDA075259,ANDA,MEITHEAL,DACARBAZINE,DACARBAZINE,Meitheal Pharmaceuticals Inc.,Prescription,Alkylating Drug [EPC],,Alkylating Activity [MoA],AP,SUPPL,,2002,20020221,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DACARBAZINE,1731338,7GR28W0FJI
NDA019955,NDA,FERRING PHARMS INC,DESMOPRESSIN ACETATE,DDAVP,Ferring Pharmaceuticals Inc.,Prescription,,,,AP,SUPPL,STANDARD,2003,20031112,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,DESMOPRESSIN ACETATE,833008,XB13HYU18U
ANDA206575,ANDA,SUN PHARMA CANADA,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,"Sun Pharmaceutical Industries, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2023,20230907,HUMAN PRESCRIPTION DRUG,TOPICAL,GEL,BENZOYL PEROXIDE,,W9WZN9A0GM
